


153,,Prince of Persia,,Broderbund,Broderbund,N/A,N/A,N/A,2.00m,N/A,N/A,N/A,N/A,03rd Oct 89,23rd Nov 20
154,,Spyro: Enter the Dragonfly,,VU Games,Check Six Games,N/A,N/A,N/A,N/A,1.97m,0.95m,N/A,0.28m,03rd Nov 02,N/A
155,,Ratchet & Clank Future: A Crack in Time    Read the review,,Sony Computer Entertainment,Insomniac Games,8.3,8.7,9.0,N/A,1.89m,0.55m,0.03m,0.26m,27th Oct 09,N/A
156,,Shrek 2,,Activision,"Luxoflux, Inc.",N/A,6.9,N/A,N/A,1.86m,0.69m,0.03m,0.02m,28th Apr 04,N/A
157,,Sonic Classic Collection,,Sega,Sonic Team,N/A,7.5,N/A,N/A,1.86m,0.74m,N/A,0.18m,02nd Mar 10,N/A
158,,Jak 3,,Sony Computer Entertainment,Naughty Dog,N/A,N/A,N/A,N/A,1.85m,0.49m,N/A,0.03m,09th Nov 04,N/A
159,,Kirby's Epic Yarn    Read the review,,Nintendo,Good-Feel,9.1,8.7,N/A,1.85m,N/A,N/A,N/A,N/A,17th Oct 10,N/A
160,,Sonic Generations,,Sega,Sonic Team/Dimps Corporation,N/A,N/A,N/A,1.85m,N/A,N/A,N/A,N/A,01st Nov 11,14th Nov 20
161,,Donkey Kong Country,,Nintendo,Rare Ltd.,N/A,7.5,N/A,1.82m,N/A,N/A,N/A,N/A,09th Jun 03,N/A
162,,Sonic & Knuckles,,Sega,Sonic Team,N/A,N/A,N/A,N/A,1.82m,0.43m,0.03m,0.12m,17th Oct 94,N/A
163,,Sly 2: Band of Thieves,,Sony Computer Entertainment,Sucker Punch,N/A,N/A,N/A,N/A,1.81m,0.69m,N/A,0.23m,14th Sep 04,N/A
164,,Sonic Advance 2,,Sega,Dimps Corporation / Sonic Team,N/A,N/A,N/A,N/A,1.80m,0.59m,0.21m,0.07m,09th Mar 03,N/A
165,,Sonic Colors    Read the review,,Sega,Sonic Team,7.2,7.7,N/A,1.80m,N/A,N/A,N/A,N/A,16th Nov 10,N/A
166,,Kirby's Return to Dreamland    Read the review,,Nintendo,HAL Laboratory,7.8,7.6,N/A,1.79m,N/A,N/A,N/A,N/A,24th Oct 11,N/A
167,,The Lion King,,Virgin Interactive,Westwood Studios,N/A,N/A,N/A,N/A,1.79m,0.39m,0.08m,0.06m,01st Oct 94,N/A
168,,Kirby 64: The Crystal Shards,,Nintendo,HAL Laboratory,N/A,7.9,N/A,1.77m,N/A,N/A,N/A,N/A,26th Jun 00,N/A
169,,Ori and the Blind Forest: Definitive Edition    Read the review,,Nordic Games,Moon Studios,9.3,N/A,N/A,1.76m,N/A,N/A,N/A,N/A,14th Jun 16,12th Aug 18
170,,The SpongeBob SquarePants Movie,,THQ,Heavy Iron Studios,N/A,6.6,N/A,N/A,1.76m,0.54m,N/A,0.16m,27th Oct 04,N/A
171,,Kid Icarus,,Nintendo,Nintendo R&D1,N/A,N/A,N/A,1.76m,N/A,N/A,N/A,N/A,01st Aug 87,N/A
172,,Sonic the Hedgehog 3,,Sega,Sonic Team,N/A,N/A,N/A,N/A,1.76m,0.47m,0.20m,0.07m,23rd Jan 94,N/A
173,,Disney's Aladdin,,Capcom,Capcom/Disney,N/A,N/A,N/A,1.75m,N/A,N/A,N/A,N/A,21st Nov 93,N/A
174,,Kirby's Adventure,,Nintendo,HAL Laboratory,N/A,N/A,N/A,1.75m,N/A,N/A,N/A,N/A,01st May 93,N/A
175,,Crash Bandicoot: The Huge Adventure,,Vivendi Games,Vicarious Visions,N/A,8.3,N/A,N/A,1.73m,0.70m,N/A,0.08m,25th Feb 02,N/A
176,,Toy Story 2: Buzz Lightyear to the Rescue!,,Activision,Traveller's Tales,N/A,N/A,N/A,N/A,1.71m,0.64m,N/A,0.08m,30th Nov 99,N/A
177,,Human: Fall Flat,,Unknown,No Brakes Games,N/A,N/A,N/A,1.70m,N/A,N/A,N/A,N/A,N/A,11th Feb 21
